Curso,Unidade de execução,Turno,Turma,Inscritos no turno,Dia da Semana,Início,Fim,Dia,Características da sala pedida para a aula
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,13:00:00,14:30:00,02/12/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,23/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,16/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,09/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Qua,13:00:00,14:30:00,02/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,28/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,21/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,14/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,13:00:00,14:30:00,07/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,29/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,22/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,15/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Ter,13:00:00,14:30:00,08/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,10:30:00,12:00:00,04/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,12:00:00,13:30:00,04/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Sex,14:30:00,16:00:00,02/12/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,28/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,21/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,14/11/2022,Sala Aulas Mestrado
ME,Teoria dos Jogos e dos Contratos,01789TP01,MEA1,30,Seg,14:30:00,16:00:00,07/11/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,12/12/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,05/12/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,14/11/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,07/11/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,31/10/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,24/10/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,17/10/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,10/10/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,03/10/2022,Sala Aulas Mestrado
PIUDHIST,Seminário de Projecto I (Piudhist),SP-I_(Piudhist)S01,DHMCMG1,0,Seg,18:00:00,20:00:00,26/09/2022,Sala Aulas Mestrado
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,14/12/2022,Sala/anfiteatro aulas
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,07/12/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,30/11/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,23/11/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,16/11/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,09/11/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,02/11/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,26/10/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,19/10/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,12/10/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,28/09/2022,Sala de Aulas normal
LP,Competências Académicas I,L5205PL05,PA3,23,Qua,11:00:00,12:30:00,21/09/2022,Sala de Aulas normal
CT,Gestão de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,10/11/2022,Sala de Aulas normal
CT,Gestão de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,03/11/2022,Sala de Aulas normal
CT,Gestão de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,27/10/2022,Sala de Aulas normal
CT,Gestão de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,20/10/2022,Sala de Aulas normal
CT,Gestão de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,13/10/2022,Sala de Aulas normal
CT,Gestão de Conflitos,00668TP02,CI-CT-02,24,Qui,13:00:00,15:00:00,06/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,09/12/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,02/12/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,25/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,18/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,11/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,28/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,21/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,14/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,07/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,30/09/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Fundamentos de Arquitectura de Computadores,L0705TP23,"ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10",44,Sex,13:00:00,14:30:00,23/09/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,05/12/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,28/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,21/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,14/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,07/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,31/10/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,24/10/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,17:30:00,19:00:00,17/10/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,05/12/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,28/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,21/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,14/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,07/11/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,31/10/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,24/10/2022,Sala/anfiteatro aulas
DF,Investimentos II,01074TP01,DFB1,3,Seg,19:00:00,20:30:00,17/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,15/12/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,24/11/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,17/11/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,10/11/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,27/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,20/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,13/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,06/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,29/09/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,22/09/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qui,14:30:00,16:00:00,15/09/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,14/12/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,07/12/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,30/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,23/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,16/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,09/11/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,26/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,19/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,12/10/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,28/09/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,21/09/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Qua,13:00:00,14:30:00,14/09/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,16/12/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,09/12/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,02/12/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,25/11/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,18/11/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,11/11/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,28/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,21/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,14/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,07/10/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,30/09/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,23/09/2022,Sala de Aulas normal
"LETI, LEI, LEI-PL",Cálculo I,03703TP02,"EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1",52,Sex,14:30:00,16:00:00,16/09/2022,Sala/anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,28/11/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,21/11/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,14/11/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,07/11/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,31/10/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,24/10/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,17/10/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,10/10/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,03/10/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,26/09/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,19/09/2022,Anfiteatro aulas
"LETI, LEI, LEI-PL, LIGE, LIGE-PL",Arquitetura de Redes,03708T02,"EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1",99,Seg,14:30:00,16:00:00,12/09/2022,Anfiteatro aulas
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,07/12/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,30/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,23/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,16/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,09/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,02/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,26/10/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,19/10/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,12/10/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,28/09/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,21/09/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,11:00:00,12:30:00,14/09/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,07/12/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,30/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,23/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,16/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,09/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,02/11/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,26/10/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,19/10/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,12/10/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,28/09/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,21/09/2022,Sala de Aulas normal
LFC,Reporte Financeiro,M8642TP01,FCC2,35,Qua,09:30:00,11:00:00,14/09/2022,Sala de Aulas normal
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,06/12/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,29/11/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,22/11/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,15/11/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,08/11/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,25/10/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,18/10/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,11/10/2022,Sala/anfiteatro aulas
"LIGE, LIGE-PL",Gestão e Sistemas de Informação nas Organizações,GSIOTP02,"IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1",80,Ter,14:30:00,16:00:00,04/10/2022,Sala/anfiteatro aulas
